,hitokoto,from
0,人生能有几回搏？现在不搏更待何时？珍惜机遇吧，让金色的年华碰撞出更加灿烂的火花！,如果不会飞翔，理想的翅膀反倒成了生活的累赘。
1,让我们一起共勉，互相支持，让我们跑得更快，跑得更好吧！哪怕路上有风雨，哪怕途中有坎坷，只要不放弃奔跑，不放弃对自我的修行，我们终究会创造属于自己的生命奇迹！,自信就如一副眼镜，帮助近视的人打开光明之路；自信就如一台电脑帮助无知的人们开阔视野；自信就如一台学习机，帮助学习差的同学提高成绩；
2,人生是个圆，有的人走了一辈子也没有走出命运画出的圆圈，其实，圆上的每一个点都有一条腾飞的切线。,买得起自己喜欢的东西，去得了自己想去的地方，不会因为身边人的来或走损失生活的质量，反而会因为花自己的钱，来得更有底气一些，这就是应该更努力的原因。
3,目标的实现建立在“我要成功”的强烈愿望上。,退一步，并不象征我认输；放手，并不表示我放弃；微笑，并不意味我快乐！
4,在你内心深处，还有无穷的潜力，有一天当你回首看时，你就会知道这绝对是真的。,人生只有经历酸甜苦辣，才懂得人间的味道，因此也必须学会珍惜人生和珍惜感情。
5,用理想去成就人生，不要蹉跎了岁月。,学习这件事，不是缺乏时间，而是缺乏努力。
6,与积极的人在一起，可以让我们心情高昂。,不再妄想，没了那么多的渴望也就不会失望。
7,所谓内心的快乐，是一个人过着健全的正常的和谐的生活所感人生所有的欢乐是创造的欢乐：爱情天才行动——全靠创造这一团烈火进射出来的。,人生能有几回搏？现在不搏更待何时？珍惜机遇吧，让金色的年华碰撞出更加灿烂的火花！
8,信念是一把无坚不摧的利刃。,那些属于我们的青春故事幸福，如今，都不复存在了，现在我们又有什么渴望的呢?
9,钉子有两个长处：一个是“挤”劲，一个是“钻”劲。我们在学习上，也要提倡这种“钉子”精神，善于挤和钻。,处事不必求功，无过便是功。为人不必感德，无怨便是德。
10,当一个人真正觉悟的一刻，他放弃追寻外在世界的财富，而开始追寻他内心世界的真正财富。,不管学历如何，读书多了，内心充实，精神自然丰富。不管长相如何，锻炼久了，减脂塑形，精自然充沛，然后你会遇见全新的自己。
11,没有伞的孩子必须努力奔跑！,提起青春，人们会想到初升的太阳；说起青春，人们会看到含苞待放的花蕾；谈起青春，人们会听到初春时的雨声。
12,不要被任何人打乱自的脚步，因为没有谁会像你一样清楚和在乎自己梦想。,美丽只有同谦虚结合在一起，才配称美丽。没有谦虚的美丽，不是美丽，顶多只能是好看。
13,世间最容易的事是坚持，最难的事也是坚持。要记住，坚持到底就是胜利。,低头哭过别忘了抬头继续走。
14,如果不想做点事情，就甭想到达这个世界上的任何地方。,人总是珍惜未得到的，而遗忘了所拥有的。
15,不要轻易用过去来衡量生活的幸与不幸!每个人的生命都是能够绽放美丽的，只要你珍惜。,不是境况造就人，而是人造就境况。
16,成功的道路上，肯定会有失败；对于失败，我们要正确地看待和对待，不怕失败者，则必成功；怕失败者，则一无是处，会更失败。,你的选择是做或不做，但不做就永远不会有机会。
17,世上只有想不通的人，没有走不通的路。,成功者和其他人最大的区别就是，他们真正动手去做了。
18,没有人值得你流泪，值得让你这么做的人不会让你哭泣。,要培养各方面的潜力，包括承受悲惨命运的潜力。
19,逆境给人宝贵的磨炼机会。只有经得起环境考验的人，才能算是真正的强者。自古以来的伟人，大多是抱着不屈不挠的精神，从逆境中挣扎奋斗过来的。,没有人陪你走一辈子，所以你要适应孤独，没有人会帮你一辈子，所以你要奋斗一生。
20,人之所以有一张嘴，而有两只耳朵，原因是听的要比说的多一倍。,我一直觉得，忧愁是好的，孤独也是好的，他们让我慢慢成长，变成一个与众不同的混蛋。
21,成功不是将来才有的，而是从决定去做的那一刻起，持续累积而成。,种子牢记着雨滴献身的叮嘱，增强了冒尖的气。
22,走得最慢的人，只要他不丧失目标，也比漫无目的地徘徊的人走得快。,眼泪不是答案，拼搏才是选择。只有回不了的过去，没有到不了的明天。
23,现在你不玩命的学，以后命玩你。,人有两条路要走， 一条是必须走的，一条是想走的，你必须把必须走的路走漂亮，才可以走想走的路。
24,你既然期望辉煌伟大的一生，那么就就应从今日起，以毫不动摇的决心和坚定不移的信念，凭自己的智慧和毅力，去创造你和人类的快乐。,我不怕痛苦，只怕丢掉倔强，我不怕磨难，只怕失去你。
25,最可怕的敌人，就是没有坚强的信念。,梦想从这刻起，并不只是个幻想，靠自己它能成为现实中的一部分。
26,一个人的意志力量不够推动他自己，他就失败，谁最能推动自己，谁就最先得到成功。,只做第一个我，不做第二个谁。
27,新的一天，新的开始，忘记昨日的悲伤，留住昨日的快乐。,低落只是情感的寄托罢了，单纯的情绪而已。
28,常求有利别人，不求有利自己。,如果惧怕前面跌宕的山岩，生命就永远只能是死水一潭。
29,虽然信念有时薄如蝉翼，但只要坚持，它会越来越厚的。,微笑拥抱每一天，做像向日葵般温暖的女子。
30,志在山顶的人，不会贪念山腰的风景。,能坚持别人不能坚持的，才能拥有别人不能拥有的。
31,只有脚踏实地的人，才能够说：路，就在我的脚下。,梦想是注定孤独的旅行，路上少不了质疑和嘲笑，但那又怎样，哪怕遍体鳞伤也要活的漂亮。
32,要成功，不要与马赛跑，要骑在立刻，立刻成功。,不相信奇迹的人永远都不会创造奇迹。
33,松驰的琴弦，永远奏不出时代的强音。,跌倒，撞墙，一败涂地，都不用害怕，年轻叫你勇敢。
34,逆境给人宝贵的磨炼机会。只有经得起环境考验的人，才能算是真正的强者。自古以来的伟人，大多是抱着不屈不挠的精神，从逆境中挣扎奋斗过来的。,未必钱多乐便多，财多累己招烦恼。清贫乐道真自在，无牵无挂乐逍遥。
35,早晨给自己一个微笑，种下一天？阳光。,虽然信念有时薄如蝉翼，但只要坚持，它会越来越厚的。
36,困，你是人类艺术的源泉，你将伟大的灵感赐予诗人。,天塌下来，有个高的人帮你扛着，但是你能保证，天塌下来的时候，个儿高的人没在弯腰吗？之后，还不是得靠自己！
37,梦想是一个天真的词，实现梦想是个残酷的词。,很多东西宁缺毋滥，流星的光芒短暂而灼热闪耀。
38,生活不可能像你想的那么美好，但也不会像你想的那么糟。,机遇是难求的，失去了就不会再来，把握好现有的机会，努力进取，那么你将会得到不菲的收获。
39,学习必须与实干相结合。,人生充满着期待，梦想连接着未来。
40,山路曲折盘旋，但毕竟朝着顶峰延伸。,世上的事，只要肯用心去学，没有一件是太晚的。要始终保持敬畏之心，对阳光，对美，对痛楚。
41,现在你不玩命的学，以后命玩你。,经验是由痛苦中粹取出来的。
42,我们这个世界，从不会给一个伤心的落伍者颁发奖牌。,向往巅峰，向往高度，结果巅峰只是一道刚能立足的狭地。不能横行，不能直走，只享一时俯视之乐，怎可长久驻足安坐？
43,人有两条路要走， 一条是必须走的，一条是想走的，你必须把必须走的路走漂亮，才可以走想走的路。,一个有信念者所开发出的力量，大于九十九个只有兴趣者。
44,前有阻碍，奋力把它冲开，运用炙热的活力，转动心中的期待，血在澎湃，吃苦流汗算什么。,在路上，寻找一个继续的理由，寻找一个曾经的梦想。
45,明天是世上增值最快的一块土地，因它充满了希望。,欲戴王冠，必承其重。哪有什么好命天赐，不都是一路披荆斩棘才换来的。
46,没有比人更高的山，没有比脚更长的路。,弱者，连死的方式都无从选择。
47,在茫茫沙漠，唯有前时进的脚步才是希望的象征。,自己喜欢的日子，就是最美的日子；适合自己的生活，是最好的活法。
48,如果你明白你去的方向，全世界都会为你让路。,怕什么路途遥远。走一步有一步的风景，进一步有一步的欢喜。幸福，在路上。
49,无志者常立志，有志者立常志，咬定一个目标的人最容易成功。,别太勉强自己，人们也许会这样说，但是请勉强自己到死的程度，反正也不会真的死掉。
50,任何事物都不如习惯那样强有力。,愿你保持善良，从此拥有远方。
51,放手如拔牙。牙被拔掉的那一刻，你会觉得解脱。但舌头总会不由自主地往那个空空的牙洞里舔，一天数次。不痛了不代表你能完全无视，留下的那个空缺永远都在，偶尔甚至会异常挂念。适应是需要时间的，但牙总是要拔，因为太痛，所以终归还是要放手，随它去。,这个世界到处充满着不公平，我们能做的不仅仅仅仅是理解，还要试着做一些反抗。
52,这世界上没有绝对的感同身受能帮你的也只有你自己。,要使理想的宫殿变成现实的宫殿，须透过埋头苦干，不声不响的劳动，一砖一瓦的建造。
53,应当随时学习，学习一切；应该集中全力，以求知道得更多，知道一切。,不要生气要争气，不要看破要突破，不要嫉妒要欣赏，不要拖延要用心，不要心动要行动。
54,想全力以赴一次，不必考虑结果会如何，努力了就好。,不要把负能量看做是消极，仇恨。其实它的作用是激励，它其实是现实。
55,人生太苦，多加点糖。,能力配不上野心，是所有烦扰的根源。这个世界是公平的，你要想得到，就得学会付出和坚持。每个人都是通过自己的努力，去决定生活的样子。
56,当有人说你是傻瓜时，证明你离成功不远了。,你心里最崇拜谁，不必变成那个人，而是用那个人的精神和方法，去变成你自己。
57,坚韧是成功的一大要素，只要在门上敲得够久.够大声，终会把人唤醒的。,一个人没有钱并不必须就穷，但没有梦想那就穷定了。
58,除了放弃尝试以外没有失败！,猛兽总是独行，牛羊才成群结队。
59,如果你不想做，你能够找一个理由，如果你肯做，你也能够自已找一个方法。,一个人只要强烈地坚持不懈地追求，他就能达到目的。你在希望中享受到的乐趣，比将来实际享受的乐趣要大得多。
60,天下没有不可能的事，只要你有信心有勇气，腔子里有热血，灵魂里有真爱。,把黑暗的那一面，擦得光亮一点，可以让缺点变得更圆满些。
61,萤火虫的光点虽然微弱，但亮着便是向黑暗挑战。,没有比人更高的山，没有比脚更长的路。
62,低头是一种能力，它不是自卑，也不是怯弱，它是清醒中的嬗变。,很多东西宁缺毋滥，流星的光芒短暂而灼热闪耀。
63,每个人的心里，都藏着一个了不起的自己，只要你不颓废，不消极，一直悄悄酝酿着乐观，培养着豁达，坚持着善良，只要在路上，就没有到达不了的远方！,千万人的失败，都有是失败在做事不彻底，往往做到离成功只差一步就终止不做了。
64,用这生命中的每一秒，给自己一个不后悔的未来。,如果没有健康，智慧就无法表露，文化就无法施展，力量就无法战斗，知识就无法利用。
65,困难与折磨对于人来说，是一把打向坯料的锤，打掉的应是脆弱的铁屑，锻成的将是锋利的钢刀。,如果不会飞翔，理想的翅膀反倒成了生活的累赘。
66,常自认为是福薄的人，任何不好的事情发生都合情合理，有这样平常心态，将会战胜很多困难。,前方无绝路，希望在转角。
67,如果你的面前有阴影，那是因为你的背后有阳光。,世上没有绝望的处境，只有对处境绝望的人。
68,路靠自己走，就算再坎坷，也要自己过。,你的选择是做或不做，但不做就永远不会有机会。
69,成功的道路上，肯定会有失败；对于失败，我们要正确地看待和对待，不怕失败者，则必成功；怕失败者，则一无是处，会更失败。,快乐，使生命得以延续。快乐，是精神和肉体的朝气，是希望和信念，是对自己的现在和来来的信心，是一切都该如此进行的信心。
70,人生“七个然”：凡事顺其自然，遇事处之泰然，得意之时淡然，失意之时坦然，艰辛曲折必然，历尽沧桑悟然，愿你活得悠然，人生七个然送给你。,"滴水穿石,不是力量大,而是功夫深。"
71,静坐常思己过，闲谈莫论人非，肯吃亏不是痴人，能受苦乃为志士，敬君子方显有德，怕小人不算无能，退一步天高地阔，知足者人心常乐！,蔚蓝的天空虽然美丽，经常风云莫测的人却是起落无从。但他往往会成为风云人物，因为他经得起大风大浪的考验。
72,请记得，好朋友的定义是：你混的好，她打心眼里为你开心；你混的不好，她由衷的为你着急。,那些再也没法弥补的遗憾，你只能配着酒和曾经围绕在那个故事旁边的人，偶尔说一说。
73,不再妄想，没了那么多的渴望也就不会失望。,没有谁的幸运，凭空而来。只有当你足够努力，你才会足够幸运，这世界不会辜负每一份努力和坚持。
74,人生就那么短，不要为了变成别人喜欢的样子，委屈了自己。该开心时开心，想发泄就发泄。过好自己的生活的第一件事，就是为自己而活。,让我们将事前的忧虑，换为事前的思考和计划吧！
75,常自认为是福薄的人，任何不好的事情发生都合情合理，有这样平常心态，将会战胜很多困难。,旁观者的姓名永远爬不到比赛的计分板上。
76,行动不一定带来快乐，而无行动则决无快乐。,人生之路多坎坷，摔个跟头别难过，爬起来，掸掸土，前方就是一片乐土。
77,征服畏惧建立自信的最快最确实的方法，就是去做你害怕的事，直到你获得成功的经验。,人为善，福虽未至，祸已远离；人为恶，祸虽未至，福已远离。
78,生命对某些人来说是美丽的，这些人的一生都为某个目标而奋斗。,人只要不失去方向，就不会失去自己。
79,一个人若想学会滑冰，那么他必须要做好在冰上摔跤的准备。,绝大多数人，在绝大多数时候，都只能靠自己。
80,最常见的勇气就是在日常生活中做到诚实和正直，能够抵制诱惑，敢于讲真话，表现自己真实的一面，而不要虚伪造作。,如果你坚信石头会开花，那么开花的不仅仅是石头。
81,生活从来不会刻意亏欠谁，它给了你一块阴影，必会在不远的地方撒下阳光。,这世上，没有谁活得比谁容易，只是有人在呼天抢地，有人在默默努力。
82,勤奋是你生命的密码，能译出你一部壮丽的史诗。,我一定要赢了自己，赢了伤痛，能够重新返回赛场。这样才能让那些怀疑我的人重新思考，什么叫将不可能变成可能。
83,不要说你不会做！你是个人你就会做！,天寒地冻不会太久，春风正在来的路上。
84,买得起自己喜欢的东西，去得了自己想去的地方，不会因为身边人的来或走损失生活的质量，反而会因为花自己的钱，来得更有底气一些，这就是应该更努力的原因。,梦想是一个天真的词，实现梦想是个残酷的词。
85,学习本无底，前进莫彷徨。,时间就像一张网，你撒在哪里，你的收获就在哪里。纽扣第一颗就扣错了，可你扣到最后一颗才发现。有些事一开始就是错的，可只有到最后才不得不承认。
86,如果圆规的两只脚都动，永远也画不出一个圆。,用理想去成就人生，不要蹉跎了岁月。
87,成功与不成功之间有时距离很短——只要后者再向前几步。,自己喜欢的日子，就是最美的日子；适合自己的生活，是最好的活法。
88,不求尽如人意，但求问心无愧。正能量励志语录：奋斗的正能量句子，每天一句，让你振奋一整年！,我不知道年少轻狂，我只知道胜者为王。
89,买得起自己喜欢的东西，去得了自己想去的地方，不会因为身边人的来或走损失生活的质量，反而会因为花自己的钱，来得更有底气一些，这就是应该更努力的原因。,懂得感恩，是收获幸福的源泉。懂得感恩，你会发现原来自己周围的一切都是那样的美好。
90,生活总是让我们遍体鳞伤，可是后来，那些受过的伤终将长成我们最强壮的地方。,成功与失败都是暂时的，在成功处跌到便是失败，在失败处勇敢站起就是成功。
91,所有运气都藏在善良里。,不为失败找理由，只为成功找方法。
92,你是唯一的，你是十分独特的，你就是你生命中的第一名。,成长是一场和自己的比赛，不要担心别人会做得比你好，你只需要每天都做得比前一天好就可以了。
93,时间是个常数，但也是个变数。勤奋的人无穷多，懒惰的人无穷少。,什么时候离光明最近？那就是你觉得黑暗太黑的时候。
94,自己丰富才感知世界丰富，自己善良才感知社会美好，自己坦荡才感受生活喜悦，自己成功才感悟生命壮观！,世上只有想不通的人，没有走不通的路。
95,在世界的历史中，每一伟大而高贵的时刻都是某种热忱的胜利。,我们愈是学习，愈觉得自己的贫乏。
96,海到无边天作岸，山登绝顶我为峰。,宁可辛苦一阵子，不要苦一辈子。
97,世界上最受欢迎的人从来不是那种不停地往后看着昨天的困苦.悲伤.失败和惨痛挫折的人，而是那种怀着信心.希望.勇气和愉快的求知欲而放眼未来的人。,梦想也许今天无法实现，明天也不行，但是只要今天的自己比昨天的自己足够努力，就会距离梦想近一步。
98,当有人说你是傻瓜时，证明你离成功不远了。,不论你在什么时候开始，重要的是开始之后就不要停止。
99,就算跑最后一名又怎样，至少我又运动精神。而且我必须会跑完全程，只要跑到终点我就成功了！,学会在困难面前微笑，困难就变得容易了，学会在坎坷面前微笑，坎坷就容易跨越了，学会在生活中微笑，生活就变得多彩了，常常微笑，笑看人生。
100,成功者绝不给自己软弱的借口。,穷则思变，既要变，又要实干。
101,一个人在外面，没啥，就是要有一颗坚强的心。,谁不是一边受伤，一边学会坚强。
102,虽然我们无法改变人生，但能够改变人生观。虽然我们无法改变环境，但我们能够改变心境。,如果你的梦想还站着的话，那么没有人能使你倒下。
103,要成功，先发疯，头脑简单向前冲。,只有经历过地狱般的折磨，才有征服天堂的力量。只有流过血的手指才能弹出世间的绝唱。
104,人生就像骑单车，想持续平衡就得往前走。,耐心点，坚强点；总有一天，你承受过的疼痛会有助于你。
105,让我们一起共勉，互相支持，让我们跑得更快，跑得更好吧！哪怕路上有风雨，哪怕途中有坎坷，只要不放弃奔跑，不放弃对自我的修行，我们终究会创造属于自己的生命奇迹！,意志力是人的一条救生索，它可以帮助我们脱离困境，引导我们走向胜利。
106,要培养各方面的潜力，包括承受悲惨命运的潜力。,如果我不坚强，那就等着别人来嘲笑。
107,我们不要哀叹生活的不幸，诅咒命运的不公。在命运面前，我们要做强者，掐住命运的咽喉，叩问命运，改变命运。,没有人要求你必须卓越，除了你自己。没有人能一步到达卓越，只需每一天进步一点点。
108,从来不跌倒不算光彩，每次跌倒后能再站起来，才是最大的荣耀。,成功的信念在人脑中的作用就如闹钟，会在你需要时将你唤醒。
109,不要盲目跟随人家的思维，人家会说你就会跟别人学。,人若有志，就不会在半坡停止。
110,如果你希望成功，以恒心为良友，以经验为参谋，以小心为兄弟，以希望为哨兵。,人生每天都要笑，生活的下一秒发生什么，我们谁也不知道。所以，放下心里的纠结，放下脑中的烦恼，放下生活的不愉快，活在当下。人生喜怒哀乐，百般形态，不如在心里全部淡然处之，轻轻一笑，让心更自在，生命更恒久。积极者相信只有推动自己才能推动世界，只要推动自己就能推动世界。
111,你是老师的百分之一，是父母的百分之五十，但却是你自己的百分之百，所以要非常非常努力，去追求自己想要的一切。,你出生的时候，你哭着，周围的人笑着；你逝去的时候，你笑着，而周围的人在哭！一切都是轮回!!!!我们都在轮回中！
112,努力不一定成功，但放弃一定失败只有学会如何停下来的人，才懂加速。,任何业绩的质变都来自于量变的积累。
113,承诺是一件美好的事情，但美好的东西往往不会变为现实。,理想的路总是为有信心的人预备着。
114,我们的不满足大部分并非源自于疾病或物质上的困境，而是未能充分活出自己。不知道自己是谁，不认识我们真正的存在本质，无法自在地做自己，所以才会有情绪上的苦恼。,伟大的成就，来自为远大的目标所花费的巨大心思和付诸的最大努力。
115,从今天开始，每天微笑吧，世上除了生死，都是小事。,奋斗的路上，时间总是过得很快，目前的困难和麻烦是很多，但是只要不忘初心，脚踏实地一步一步的朝着目标前进，最后的结局交给时间来定夺。
116,生活不是让你用来妥协的。你退缩得越多，那么能够让你喘息的空间也就是越少。,一个人，如果连自己的情绪都控制不了，即便给你整个世界，你也早晚毁掉一切！人生最了不起的四种心境：痛而不言、笑而不语、迷而不失、惊而不乱。
117,在真实的性命里，每桩伟业都由信心开始，并由信心跨出第一步。,生活不可能像你想的那么美好，但也不会像你想的那么糟。
118,天塌下来，有个高的人帮你扛着，可是你能保证，天塌下来的时候，个儿高的人没在弯腰吗？之后，还不是得靠自己！,机不可失，时不再来。
119,人生最精彩的不是实现梦想的一瞬间，而是坚持梦想的过程。,抬得起头，无论身处逆境还是顺境中，都要保持一种乐观进取的心态。
120,很多事情努力了未必有结果，但是不努力却什么改变也没有。,如果圆规的两只脚都动，永远也画不出一个圆。
121,学习是一次独立的行动，需要探索.琢磨.积极应战.顽强应战，艰辛由你独自承担，胜利由你独立争取。,身安不如心安，屋宽不如心宽。
122,不去期望，失去了不会伤心，得到了便是惊喜。,一个人有生就有死，但只要你活着，就要以最好的方式活下去。
123,对于攀登者来说，失掉往昔的足迹并不可惜，迷失了继续前时的方向却很危险。,父母是教科书，朋友是参考书，爱人是工具书，邻居是报纸杂志，美女是画报。
124,没有天生的信心，只有不断培养的信心。,只要一息尚存，我就要坚持到底，因为我已明白成功的一大法则：坚持到底，就是胜利。
125,一切事无法追求完美，唯有追求尽力而为。这样心无压力，出来的结果反而会更好。,有时候，你放弃了某人，并不是因为你不再在乎，而是因为你意识到他已不在乎了。现在才懂，原来一个人可以难过到，没有情绪，没有言语，没有表情。
126,有些事情，不谈是个结，谈开了是个疤。,我走的很慢，但我从不后退。
127,进则安居以行其志，退则安居以修其所未能，则进亦有为，退亦有为也。,即使爬到最高的山上，一次也只能脚踏实地地迈一步。
128,有时候，坚持了你最不想干的事情之后，会得到你最想要的东西。,不大可能的事也许这天实现，根本不可能的事也许明天会实现。
129,时间是有限的，所以不要把时间浪费在走别人的路上。,人生伟业的建立，不在能知，乃在能行。
130,用心的人在每一次忧患中都看到一个机会，而消极的人则在每个机会都看到某种忧患。,大家常说一句话，认真你就输了，可是不认真的话，这辈子你就废了，自己的人生都不认真面对的话，那谁要认真对待你。
131,与其相信依靠别人，不如相信依靠自己。,一个人只有投身于伟大的时代洪流中，他的生命才会闪耀出光彩。
132,走好自己的路，让别人说去。,有智慧才能分辨善恶邪正;有谦虚才能建立美满人生。
133,成功者和其他人最大的区别就是，他们真正动手去做了。,我要的未来，要靠我自己去拼。
134,希望：我喜欢的人不要滚滚而来；更希望：我不喜欢的人滚滚而去。,松驰的琴弦，永远奏不出时代的强音。
135,平时没有跑发卫千米，占时就难以进行一百米的冲刺。,我们可以不必理会别人奢侈的掌声，但应在乎自己在胜利征途上迈出坚实的每一个脚印。
136,你特么的看看你现在的样子?还是我爱的那个你么?,当一个人真正觉悟的一刻，他放弃追寻外在世界的财富，而开始追寻他内心世界的真正财富。
137,一切事无法追求完美，唯有追求尽力而为。这样心无压力，出来的结果反而会更好。,智者一切求自己，愚者一切求他人。
138,失败的定义：什么都要做，什么都在做，却从未做完过，也未做好过。,时间告诉我，无理取闹的年龄过了，该懂事了。
139,人生最困难的不是努力，也不是奋斗，而是做出正确的抉择。,很多东西宁缺毋滥，流星的光芒短暂而灼热闪耀。
140,决定今天的不是今天，而是昨天对人生的态度；决定明天的不是明天，而是今天对事业的作为。我们的今天由过去决定，我们的明天由今天决定！,用理想去成就人生，不要蹉跎了岁月。
141,不如意的时候不要尽往悲伤里钻，想想有笑声的日子吧。,若不给自己设限，则人生中就没有限制你发挥的藩篱。
142,我一直觉得，忧愁是好的，孤独也是好的，他们让我慢慢成长，变成一个与众不同的混蛋。,好的，坏的……一切都是你的，有必要自卑吗？
143,犯错，就诚实地认错。狡辨诿过只会害了你自己。,莫妒他长，妒长，则己终是短。莫护己短，护短，则己终不长。
144,人总是在失去了才知道珍惜！,不求与人相比，但求超越自己，要哭就哭出激动的泪水，要笑就笑出成长的性格。
145,不要说你不会做！你是个人你就会做！,如果你不相信努力和时光，那么时光第一个就会辜负你。不要去否定你的过去，也不要用你的过去牵扯你的未来。不是因为有希望才去努力，而是努力了，才能看到希望。
146,没有激流就称不上勇进，没有山峰则谈不上攀登。,在生命里寻觅快乐的方法，就是了解你被赋予生命是为了奉献。
147,学习必须与实干相结合。,站在巨人的肩上是为了超过巨人。
148,学习这件事，不是缺乏时间，而是缺乏努力。,人若有志，就不会在半坡停止。
149,未曾失败的人恐怕也未曾成功过。,没有礁石，就没有美丽的浪花;没有挫折，就没有壮丽的人生。
150,当你孤独时，风儿就是我的歌声，愿它能使你得到片刻的安慰；当你骄傲时，雨点就是我的警钟，愿它能使你获得永恒的谦逊。,今天所有的懒惰都会换来明天的卑微。
151,要培养各方面的潜力，包括承受悲惨命运的潜力。,觉得自己做的到和不做的到，其实只在一念之间。
152,真正的财富是一种思维方式，而不是一个月收入数字。,世界太大，生命这样短。要把它过得尽量像自己想要的那个样子。
153,你若想要得到，就别只是期望。人生短暂，经不起等待。,太阳照亮人生的路，月亮照亮心灵的路。
154,把脸一直向着阳光，这样就不会见到阴影。,每个人都有潜在的能量，只是很容易被习惯所粉饰，被时光所迷离，被惰性所消磨。
155,别太勉强自己，人们也许会这样说，但是请勉强自己到死的程度，反正也不会真的死掉。,一定的忧愁.痛苦或烦恼，对每个人都是时时必需的。一艘船如果没有压舱物，便不会稳定，不能朝着目的地一直前进。
